Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
200608,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Thru / Transit,Other,International,G,1398
200711,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,7937
200806,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Other,International,G,74987
201008,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,9516
200902,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,4764
200611,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,3913
201511,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Enplaned,Low Fare,International,A,63733
201004,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,C,13651
201604,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,65019
200910,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,378838
201611,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,International,G,19245
201501,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,20
201707,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,Terminal 3,F,25524
201206,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,C,18362
200712,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,86404
202002,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,6611
201603,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Other,International,A,7136
200712,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 1,B,51404
201704,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,81686
201804,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,10707
200607,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,237
201710,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,10163
202003,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,3526
200806,US Airways,US,US Airways,US,Domestic,US,Enplaned,Other,Terminal 1,B,73025
200511,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,8103
200902,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,9159
201811,Jazz Aviation,QK,Air Canada,AC,International,Canada,Deplaned,Other,International,G,7262
201502,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,5721
201709,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,9375
202102,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,121
202008,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,G,2078
201906,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,G,871
201709,Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Enplaned,Low Fare,International,A,3122
201801,Jazz Aviation,QK,Air Canada,AC,International,Canada,Deplaned,Other,International,G,2542
201105,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6327
201703,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,13162
201308,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,7264
200704,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,Terminal 1,B,6748
201503,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Enplaned,Other,International,A,4585
